,id,name,to,poc
0,ShulDo0,Don Shula,1995,False
1,HalaGe0,George Halas,1967,False
2,BeliBi0,Bill Belichick,2023,False
3,ReidAn0,Andy Reid,2024,False
4,LandTo0,Tom Landry,1988,False
5,LambCu0,Curly Lambeau,1953,False
6,BrowPa0,Paul Brown,1975,False
7,SchoMa0,Marty Schottenheimer,2006,False
8,NollCh0,Chuck Noll,1991,False
9,ReevDa0,Dan Reeves,2003,False
10,KnoxCh0,Chuck Knox,1994,False
11,TomlMi0,Mike Tomlin,2024,True
12,McCaMi0,Mike McCarthy,2024,False
13,FishJe0,Jeff Fisher,2016,False
14,HarbJo0,John Harbaugh,2024,False
15,ParcBi0,Bill Parcells,2006,False
16,CarrPe0,Pete Carroll,2023,False
17,CougTo0,Tom Coughlin,2015,False
18,PaytSe0,Sean Payton,2024,False
19,ShanMi0,Mike Shanahan,2013,False
20,HolmMi0,Mike Holmgren,2008,False
21,GranBu0,Bud Grant,1985,False
22,GibbJo0,Joe Gibbs,2007,False
23,OwenSt0,Steve Owen,1953,False
24,CowhBi0,Bill Cowher,2006,False
25,LevyMa0,Marv Levy,1997,False
26,DungTo0,Tony Dungy,2008,True
27,FoxxJo0,John Fox,2017,False
28,LewiMa0,Marvin Lewis,2018,True
29,StraHa0,Hank Stram,1977,False
30,EwbaWe0,Weeb Ewbank,1973,False
31,MoraJi0,Jim Mora,2001,False
32,GillSi0,Sid Gillman,1974,False
33,DitkMi0,Mike Ditka,1999,False
34,VermDi0,Dick Vermeil,2005,False
35,GrudJo0,Jon Gruden,2021,False
36,AlleGe0,George Allen,1977,False
37,SeifGe0,George Seifert,2001,False
38,TurnNo0,Norv Turner,2012,False
39,GreeDe0,Dennis Green,2006,True
40,CoryDo0,Don Coryell,1986,False
41,ParkRa0,Buddy Parker,1964,False
42,MaddJo0,John Madden,1978,False
43,RiveRo0,Ron Rivera,2023,True
44,FlorTo0,Tom Flores,1994,True
45,LombVi0,Vince Lombardi,1969,False
46,SabaLo0,Lou Saban,1976,False
47,DelRJa0,Jack Del Rio,2017,False
48,SmitLo0,Lovie Smith,2022,True
49,WalsBi0,Bill Walsh,1988,False
50,ShawLa0,Buck Shaw,1960,False
51,ConzJi0,Jimmy Conzelman,1948,False
52,MarcTe0,Ted Marchibroda,1998,False
53,PardJa0,Jack Pardee,1994,False
54,McDeSe0,Sean McDermott,2024,False
55,GarrJa0,Jason Garrett,2019,False
56,WychSa0,Sam Wyche,1995,False
57,KubiGa0,Gary Kubiak,2016,False
58,PhilBu0,Bum Phillips,1985,False
59,PhilWa0,Wade Phillips,2013,False
60,WannDa0,Dave Wannstedt,2004,False
61,AriaBr0,Bruce Arians,2021,False
62,BillBr0,Brian Billick,2007,False
63,FlahRa0,Ray Flaherty,1949,False
64,JohnJi0,Jimmy Johnson,1999,False
65,McVaSe0,Sean McVay,2024,False
66,CollBl0,Blanton Collier,1970,False
67,GregFo0,Forrest Gregg,1987,False
68,RobiJo0,John Robinson,1991,False
69,RossBo0,Bobby Ross,2000,False
70,MariSt0,Steve Mariucci,2005,False
71,ZimmMi0,Mike Zimmer,2021,False
72,ShanKy0,Kyle Shanahan,2024,False
73,NolaDi0,Dick Nolan,1980,False
74,WilsGe0,George Wilson,1969,False
75,LaFlMa0,Matt LaFleur,2024,False
76,FontWa0,Wayne Fontes,1996,False
77,SmitMi0,Mike Smith,2014,False
78,VanBNo0,Norm Van Brocklin,1974,False
79,ClarPo0,Potsy Clark,1940,False
80,LemmWa0,Wally Lemm,1970,False
81,PedeDo0,Doug Pederson,2024,False
82,NealGr0,Greasy Neale,1950,False
83,CaldJi0,Jim Caldwell,2017,True
84,RyanRe0,Rex Ryan,2016,False
85,GlanJe0,Jerry Glanville,1993,False
86,JaurDi0,Dick Jauron,2009,False
87,ChamGu0,Guy Chamberlin,1927,False
88,FassJi0,Jim Fassel,2003,False
89,KuhaJo0,Joe Kuharich,1968,False
90,SherAl0,Allie Sherman,1968,False
91,SherMi0,Mike Sherman,2005,False
92,ShelAr0,Art Shell,2006,True
93,HarbJi0,Jim Harbaugh,2024,False
94,QuinDa0,Dan Quinn,2024,False
95,RyanBu0,Buddy Ryan,1995,False
96,EdwaHe0,Herm Edwards,2008,True
97,MeyeRo0,Ron Meyer,1991,False
98,VrabMi0,Mike Vrabel,2023,False
99,BowlTo0,Todd Bowles,2024,True
100,HoweJi0,Jim Lee Howell,1960,False
101,MartMi0,Mike Martz,2005,False
102,PagaCh0,Chuck Pagano,2017,False
103,WaltJo0,Joe Walton,1989,False
104,BurnJe0,Jerry Burns,1991,False
105,HoloMi0,Mike Holovak,1976,False
106,OBriBi0,Bill O'Brien,2020,False
107,StarBa0,Bart Starr,1983,False
108,AndrRo0,Roy Andrews,1931,False
109,ClarMo0,Monte Clark,1984,False
110,BennLe0,Leeman Bennett,1986,False
111,BerrRa0,Raymond Berry,1989,False
112,CapeDo0,Dom Capers,2005,False
113,SiriNi0,Nick Sirianni,2024,False
114,WhisKe0,Ken Whisenhunt,2015,False
115,CoslBr0,Bruce Coslet,2000,False
116,HaslJi0,Jim Haslett,2008,False
117,RutiSa0,Sam Rutigliano,1984,False
118,FairCh0,Chuck Fairbanks,1978,False
119,TaylZa0,Zac Taylor,2024,False
120,SkorNi0,Nick Skorich,1974,False
121,CampDa1,Dan Campbell,2024,False
122,MalaRa0,Ray Malavasi,1982,False
123,McKaJo0,John McKay,1984,False
124,WinnCh0,Charley Winner,1975,False
125,SchmJo0,Joe Schmidt,1972,False
126,PerkRa0,Ray Perkins,1990,False
127,ReicFr0,Frank Reich,2023,False
128,EricDe0,Dennis Erickson,2004,False
129,KotiRi0,Rich Kotite,1996,False
130,MillRe0,Red Miller,1980,False
131,RaucJo0,John Rauch,1970,False
132,StefKe0,Kevin Stefanski,2024,False
133,SwitBa0,Barry Switzer,1997,False
134,ChilBr0,Brad Childress,2010,False
135,HaniJi0,Jim Hanifan,1989,False
136,MichWa0,Walt Michaels,1982,False
137,HennDa0,Dan Henning,1991,False
138,MarrDo0,Doug Marrone,2020,False
139,RhodRa0,Ray Rhodes,1999,True
140,InfaLi0,Lindy Infante,1997,False
141,MulaMi0,Mike Mularkey,2017,False
142,GrudJa0,Jay Gruden,2019,False
143,PateJa0,Jack Patera,1982,False
144,ProtTo0,Tommy Prothro,1978,False
145,CampMa0,Marion Campbell,1989,False
146,GailCh0,Chan Gailey,2012,False
147,HughTo0,Tommy Hughitt,1924,False
148,NagyMa0,Matt Nagy,2021,False
149,OConKe0,Kevin O'Connell,2024,False
150,RalsJo0,John Ralston,1976,False
